

         Scene Report          

Scene Name          Scene Symbol
-----------              -----
Seattle              [WA]
Portland             [OR]
Oakland              [CA]
LosAngeles           [CA]
SanDiego             [CA]
Spokane              [WA]
Rexburg              [ID]
SaltLakeCity         [UT]
LasVegas             [NV]
Phoenix              [AZ]
Helena               [MT]
Cheyenne             [WY]
Denver               [CO]
Albuquerque          [NM]
Lubbock              [TX]
ElPaso               [TX]
Bismark              [ND]
RapidCity            [SD]
KansasCity           [KS]
Amarillo             [TX]
Austin               [TX]
SanAntonio           [TX]
McAllen              [TX]
Minneapolis          [MN]
DesMoines            [IA]
StLouis              [MO]
Tulsa                [OK]
Dallas               [TX]
Houston              [TX]
Milwaukee            [WI]
Chicago              [IL]
Indianapolis         [IN]
LittleRock           [AR]
BatonRouge           [LA]
NewOrleans           [LA]
Detroit              [MI]
Cleveland            [OH]
Cincinnati           [OH]
Louisville           [KY]
Nashville            [TN]
Jackson              [MS]
NewYork              [NY]
Philidelphia         [PA]
Baltimore            [MD]
Richmond             [VA]
Knoxville            [TN]
Montgomery           [AL]
Boston               [MA]
Trenton              [NJ]
WashingtonDC         [DC]
Raleigh              [NC]
Charleston           [SC]
Atlanta              [GA]
Miami                [FL]
